Particle Filename,Center X,Center Y,Radius
particle_245.png,878,274,16
particle_246.png,524,644,32
particle_247.png,410,185,31
particle_248.png,943,637,27
particle_249.png,167,541,25
particle_250.png,79,940,24
particle_251.png,255,244,21
particle_252.png,293,688,20
particle_253.png,81,166,20
particle_254.png,122,419,19
particle_255.png,333,386,15
particle_256.png,860,223,14
particle_257.png,556,932,39
particle_258.png,67,878,33
particle_259.png,934,729,28
particle_260.png,257,554,22
particle_261.png,914,815,16
particle_262.png,767,475,36
particle_263.png,190,958,20
particle_264.png,93,112,19
particle_265.png,219,971,17
particle_266.png,895,352,17
particle_267.png,454,220,15
particle_268.png,467,682,32
particle_269.png,337,949,25
particle_270.png,1010,573,24
particle_271.png,767,704,22
particle_272.png,19,109,13
particle_273.png,453,728,35
particle_274.png,979,542,22
particle_275.png,706,595,20
particle_276.png,220,237,20
particle_277.png,951,200,16
particle_278.png,365,613,35
particle_279.png,279,793,29
particle_280.png,728,616,25
particle_281.png,520,703,24
particle_282.png,429,69,28
particle_283.png,679,394,24
particle_284.png,37,33,24
particle_285.png,201,199,22
particle_286.png,535,736,20
particle_287.png,909,256,19
particle_288.png,814,184,17
particle_289.png,292,194,21
particle_290.png,46,977,19
particle_291.png,398,945,19
particle_292.png,635,232,18
particle_293.png,646,73,17
particle_294.png,873,190,14
particle_295.png,742,158,12
particle_296.png,17,963,30
particle_297.png,889,29,27
particle_298.png,730,934,26
particle_299.png,133,495,23
particle_300.png,860,377,17
particle_301.png,392,615,31
particle_302.png,415,423,28
particle_303.png,284,1007,28
particle_304.png,87,19,24
particle_305.png,872,152,21
particle_306.png,789,251,19
particle_307.png,549,988,17
particle_308.png,817,721,14
particle_309.png,819,68,27
particle_310.png,634,731,26
particle_311.png,22,452,21
particle_312.png,232,668,20
particle_313.png,977,383,20
particle_314.png,995,353,20
particle_315.png,903,596,19
particle_316.png,379,267,17
particle_317.png,626,881,17
particle_318.png,500,259,16
particle_319.png,317,711,25
particle_320.png,605,110,19
particle_321.png,711,149,16
particle_322.png,448,593,13
particle_323.png,415,790,11
particle_324.png,727,790,25
particle_325.png,685,214,25
particle_326.png,680,998,16
particle_327.png,755,332,13
particle_328.png,217,135,11
particle_329.png,1012,757,33
particle_330.png,803,961,25
particle_331.png,733,395,24
particle_332.png,652,1001,23
particle_333.png,685,616,20
particle_334.png,1004,862,17
particle_335.png,1016,399,23
particle_336.png,856,175,20
particle_337.png,357,683,19
particle_338.png,825,512,19
particle_339.png,715,667,18
particle_340.png,121,1009,15
particle_341.png,644,573,27
particle_342.png,977,710,18
particle_343.png,561,839,16
particle_344.png,761,845,14
particle_345.png,621,1069,26
particle_346.png,645,643,20
particle_347.png,123,2,19
particle_348.png,619,141,17
particle_349.png,799,701,17
particle_350.png,897,554,16
particle_351.png,877,568,15
